parameterization_id,SeedYr HIGH,BaseInfectivity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,TransitoryFormationRate,InfmormalFormationRate,MaritalFormationRate,MaleToFemaleYoung,MaleToFemaleOld,TransitoryCondomMid,TransitoryCondomRate,TransitoryCondomMax,InformalCondomMid,InformalCondomRate,InformalCondomsMax,MaritalCondomMid,MaritalCondomRate,MaritalCondomMax,RiskAssortivity,ProbExtraTransitoryMaleLow,ProbExtraTransitoryMaleMedium,ProbExtraTransitoryFemaleLow,ProbExtraTransitoryFemaleMedium,ProbExtraInformalMaleLow,ProbExtraInformalFemaleLow,MaximumTransitoryMaleLow,MaximumTransitoryFemaleLow,MaximumInformalMaleLow,MaximumInformalFemaleLow,ProbExtraInformalMaleMedium,ProbExtraInformalFemaleMedium,MaximumTransitoryMaleMedium,MaximumTransitoryFemaleMedium,MaximumInformalMaleMedium,MaximumInformalFemaleMedium,MaximumMaritalMaleMedium,MaximumMaritalFemaleMedium,InformalDurationHeterogeneity,Homa_BayTransitoryCondomsMax,Homa_BayInformalCondomsMax,Homa_BayPropLowRisk,KisiiTransitoryCondomsMax,KisiiInformalCondomsMax,KisiiPropLowRisk,KisumuTransitoryCondomsMax,KisumuInformalCondomsMax,KisumuPropLowRisk,MigoriTransitoryCondomsMax,MigoriInformalCondomsMax,MigoriPropLowRisk,NyamiraTransitoryCondomsMax,NyamiraInformalCondomsMax,NyamiraPropLowRisk,SiayaTransitoryCondomsMax,SiayaInformalCondomsMax,SiayaPropLowRisk,PreARTLinkMinimum,PreARTLinkMaximum,PreARTLinkMid,ARTLinkMax,ARTLinkMid,run_number,iteration_number,sim_id,likelihood
130,1982,0.000446773,15.1983684,0.077344581,15.71050753,0.252732222,0.002433969,0.000193976,5.48E-05,3.083361796,2.695257881,1990.048861,0,0.034358203,2003.842625,2.665759154,0.268945796,1990,0.240741006,0.294315928,0.380631647,0.049321618,0.612774813,0.088299185,0.713742232,0.468999455,0.060959898,1.597889406,1.597889406,1.837869721,1.837869721,0.468776863,0.454235958,2.236432977,2.236432977,2.760415842,2.760415842,0.920596334,0.920596334,0.75,0.417471363,0.278021612,0.5,0.489977034,0.305591593,0.705999657,0.092811047,0.007119346,0.53582159,0.072112951,0.129216892,0.667746137,0.288000582,0.228125628,0.5,0.5,0.271289163,0.562478718,0.206105673,0.568292538,1999.924161,0.978958779,2001.99581,48692,-1,,1
131,1982,0.000787868,15,0.044152185,15.05509108,0.105010296,0.001300693,0.000210776,6.96E-05,2.240636894,2.695257881,2000.771588,0,0.220038677,2005,2.265706321,0.099216591,1994.146953,2.349000161,0.3,0.602277003,0.043692639,0.793466639,0.105022737,0.679131388,0.309604463,0.495520244,1.889389951,1.889389951,1.442881268,1.442881268,0.388041243,0.5,2.698997855,2.698997855,2.349777261,2.349777261,0.956554909,0.956554909,0.75,0.193364782,0.036578003,0.59946958,0.5,0.145023004,0.916506546,0.288529012,0.201420085,0.651052507,0.369719443,0.21793257,0.904644199,0.288994872,0.365552065,0.75029051,0.322457208,0.254939859,0.5742312,0.472632308,0.698026717,2002.497024,1,1995.814863,17549,-1,,1
132,1982,0.000551219,15.50401288,0.04,15.73016622,0.297545588,0.001844249,0.000135899,5.48E-05,2.683492853,2.695257881,1994.798726,0,0.068176563,2002.781617,2.441564651,0.216791892,1994.70491,0.329551001,0.268087567,0.274538672,0.104340698,0.521105215,0.096685729,0.656618907,0.459137628,0.135327288,1.905795673,1.905795673,1.938462471,1.938462471,0.367946502,0.454257189,2.407097414,2.407097414,3,3,1.224899147,1.224899147,0.75,0.411068074,0.182217747,0.56645461,0.489804946,0.261116613,0.819563069,0.144358744,0.154278944,0.60606857,0.087921765,0.047932061,0.737260126,0.280550868,0.354425882,0.639923057,0.464501228,0.191601713,0.550617073,0.075554895,0.686011913,2003.441883,1,2003.384321,13661,-1,,1
133,1982,0.000621398,15.12063392,0.04595519,15.4607085,0.254002348,0.001819728,9.13E-05,6.93E-05,2.876701848,2.695257881,1997.198677,0.092536946,0.061418498,2003.347154,2.21069387,0.16011136,1995.656578,0.484009598,0.243822068,0.252793082,0.128196132,0.51503017,0.102323109,0.607442073,0.521082141,0.197864543,1.785071172,1.785071172,1.940409518,1.940409518,0.381729493,0.5,2.261840877,2.261840877,2.728243854,2.728243854,1.096004234,1.096004234,0.75,0.380682815,0.14913336,0.596762409,0.5,0.267180987,0.852513319,0.187922281,0.165454278,0.620681333,0.096882457,0.027125611,0.746537965,0.274358656,0.354563577,0.610215789,0.457410787,0.197803423,0.52457804,0,0.703002656,2003.328857,1,2002.770977,38387,-1,,1
134,1982,0.000855359,15.16429151,0.058272999,15.36257441,0.226028849,0.001573046,9.13E-05,7.29E-05,2.542330726,2.695257881,1997.568772,0.186431369,0.175286007,2000.028055,2.60086146,0.004228077,1997.257037,1.900344788,0.230504977,0.632050356,0.069991092,0.73631867,0.092476337,0.8,0.224720299,0.492528087,1.98919813,1.98919813,1.358402187,1.358402187,0.370195236,0.400399509,3,3,2.388357564,2.388357564,0.914837032,0.914837032,0.75,0.13119358,0.088654068,0.598709877,0.47268595,0.177178667,0.882091592,0.318864281,0.247242069,0.714967467,0.303769546,0.2629916,0.841048132,0.387545155,0.379836317,0.787634419,0.409281238,0.282756573,0.523116707,0.554685195,0.599713044,1998.971427,1,1998.786838,20959,-1,,1
135,1982,0.000640214,15.40303344,0.052144857,16.3334924,0.267089634,0.002180827,9.13E-05,6.22E-05,3.082219156,2.695257881,1994.039527,0.194067134,0.027247809,2002.227782,2.407546441,0.086261036,1991.547494,1.536296314,0.191722477,0.489339509,0.046321215,0.765170494,0.088790625,0.606358725,0.353250946,0.296071475,1.947165477,1.947165477,1.67668151,1.67668151,0.422834859,0.5,2.777469734,2.777469734,3,3,1.106813663,1.106813663,0.75,0.348771256,0.107802329,0.570184599,0.478234746,0.166231316,0.713182432,0.142276856,0.190293221,0.712594118,0.221922151,0.12770435,0.813507502,0.383205262,0.301824605,0.798977402,0.414779918,0.185203495,0.572971949,0.30974006,0.607061877,1999.239724,0.92454781,2003.619857,24533,-1,,1
136,1982,0.000781036,16.47874321,0.04,15.96867684,0.04,0.001152139,9.13E-05,5.48E-05,2.0195878,2.695257881,2000.216241,0.703029303,0.270372475,2003.926275,1.920643341,0.113973445,1993.008137,1.702018751,0.254524862,0.421853786,0.249317428,0.741470758,0.105822425,0.532001425,0.297069815,0.410204035,1.895064046,1.895064046,1.296977137,1.296977137,0.453001899,0.349279694,2.754837792,2.754837792,2.353196054,2.353196054,1.1966828,1.1966828,0.75,0.219551723,0.111283594,0.561704552,0.328021251,0.185043963,0.941958988,0.260862989,0.152987723,0.589396657,0.334704559,0.186666265,0.832412678,0.23455751,0.183943035,0.712393502,0.286684879,0.280808222,0.623129068,0.725605441,0.763747908,2006.867262,0.945451754,1997.073906,50081,-1,,1
137,1982,0.001016853,16.75082609,0.051911602,15.23901174,0.058728966,0.001121948,9.13E-05,6.96E-05,1.505368459,2.695257881,2000.990547,1.053506559,0.31080675,2001.419925,1.31575216,0.130843186,1993.715896,1.761165001,0.24904674,0.353210938,0.299003767,0.711528049,0.089304786,0.454145733,0.32965531,0.384470104,1.787060037,1.787060037,1.265555224,1.265555224,0.467833029,0.289352701,2.507264207,2.507264207,2.197790981,2.197790981,1.280938964,1.280938964,0.75,0.204971385,0.120990704,0.599613855,0.288220871,0.184327799,0.95,0.304522547,0.183613934,0.67399799,0.321536708,0.210365259,0.823942082,0.238549645,0.244051031,0.824944117,0.30358508,0.267303406,0.696802428,0.76029728,0.794394373,2006.259796,1,1998.339565,31352,-1,,1
138,1982,0.000576525,15.11157617,0.04,15.42363472,0.223535721,0.001965485,0.000224298,5.48E-05,1.858634885,2.695257881,1996.469605,0.139320342,0.130125441,2000.225809,2.198975827,0.092128905,1994.401042,2.315327268,0.234581483,0.539271898,0.044695853,0.721744008,0.147702349,0.606959874,0.29903828,0.341820232,1.866036513,1.866036513,1.549703404,1.549703404,0.430833177,0.429110694,2.672275382,2.672275382,3,3,0.920050618,0.920050618,0.75,0.18624453,0.15235709,0.517847487,0.457350814,0.223518275,0.680782595,0.281787019,0.24213459,0.672295215,0.31572574,0.158925356,0.823282191,0.361869425,0.353902386,0.755111866,0.31228297,0.248730645,0.600019483,0.331927098,0.475681382,1998.842476,0.944247862,2000.717818,51433,-1,,1
139,1982,0.000559714,15.63058828,0.04,15.10277682,0.263701547,0.001828408,9.13E-05,6.08E-05,2.126534469,2.695257881,1996.92485,0.000218522,0.009787176,2002.148698,2.130573267,0.18502995,1995.523817,0.289485452,0.3,0.299065142,0.138527054,0.444129052,0.092296013,0.592626035,0.450635801,0.147578619,1.774524045,1.774524045,1.893104296,1.893104296,0.299651707,0.442525083,2.390301329,2.390301329,2.993180953,2.993180953,1.126127529,1.126127529,0.75,0.366013972,0.146574216,0.547733263,0.497890828,0.219932318,0.777684901,0.176551706,0.166223563,0.629906867,0.095803903,0.082602989,0.73737895,0.299289849,0.318281891,0.630418706,0.477741194,0.201730404,0.574823714,0.0464622,0.748776405,2001.451164,0.981768343,1998.221581,53109,-1,,1
