parameterization_id,iteration_number,sim_id,likelihood,ARTLinkMax,ARTLinkMid,BaseInfectivity,HomaBayInformalCondomsMax,HomaBayPropLowRisk,HomaBayTransitoryCondomsMax,InfmormalFormationRate,InformalCondomMid,InformalCondomRate,InformalCondomsMax,InformalDurationHeterogeneity,KisiiInformalCondomsMax,KisiiPropLowRisk,KisiiTransitoryCondomsMax,KisumuInformalCondomsMax,KisumuPropLowRisk,KisumuTransitoryCondomsMax,MaleToFemaleOld,MaleToFemaleYoung,MaximumInformalFemaleLow,MaximumInformalFemaleMedium,MaximumInformalMaleLow,MaximumInformalMaleMedium,MaximumMaritalFemaleMedium,MaximumMaritalMaleMedium,MaximumTransitoryFemaleLow,MaximumTransitoryFemaleMedium,MaximumTransitoryMaleLow,MaximumTransitoryMaleMedium,MigoriInformalCondomsMax,MigoriPropLowRisk,MigoriTransitoryCondomsMax,MaritalCondomMax,MaritalCondomMid,MaritalCondomRate,MaritalFormationRate,NyamiraInformalCondomsMax,NyamiraPropLowRisk,NyamiraTransitoryCondomsMax,ProbExtraInformalFemaleLow,ProbExtraInformalFemaleMedium,ProbExtraInformalMaleLow,ProbExtraInformalMaleMedium,ProbExtraTransitoryFemaleLow,ProbExtraTransitoryFemaleMedium,ProbExtraTransitoryMaleLow,ProbExtraTransitoryMaleMedium,PreARTLinkMaximum,PreARTLinkMid,PreARTLinkMinimum,RiskAssortivity,SeedYearHigh,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SiayaInformalCondomsMax,SiayaPropLowRisk,SiayaTransitoryCondomsMax,TransitoryCondomMax,TransitoryCondomMid,TransitoryCondomRate,TransitoryFormationRate,run_number
49,-1,47a77194-3bdc-e811-a2bd-c4346bcb1555,4.21E+42,1,2003.069383,0.001555587,0.229830052,0.587661933,0.220900516,9.70E-05,1998.678614,1.890848416,0.217549398,0.75,0.217325872,0.946689277,0.348898623,0.176861638,0.753037951,0.342531443,1.674633114,1.155609629,1.227760915,2.388840766,1.110048443,2.814313272,1.133698039,1.364395779,1.570062552,2.998054452,1.72613702,2.915571299,0.204557196,0.810456109,0.282929061,0.175849032,1996.487693,2.129605846,5.62E-05,0.106839021,0.930446649,0.277873873,0.367097727,0.411178741,0.245715167,0.417816729,0.039138179,0.486096249,0.326773819,0.635568602,0.739510778,2003.748649,0.432545132,0.676275107,1982,0.071817384,16.08596455,0.04297283,16.01846105,0.13812083,0.719765722,0.303072091,0.306048024,1997.600803,1.811481606,0.001407026,49933
52,-1,b68d4fa9-70db-e811-a2bd-c4346bcb1555,4.20E+42,0.979211986,2003.02944,0.001532794,0.176856993,0.600299176,0.21960412,9.13E-05,1998.184487,1.691940386,0.226461504,0.75,0.193874497,0.95,0.337953909,0.165457741,0.777847239,0.332568043,1.820102602,1.099802263,1.234252178,2.541336939,1.136031184,2.695306374,1.104780887,1.377140521,1.66754454,2.996456209,1.66303939,3,0.196626502,0.800993834,0.241455464,0.204352314,1996.005202,2.050731923,5.48E-05,0.132834365,0.922216712,0.268459244,0.367509807,0.424342424,0.244731815,0.434304279,0.026231999,0.508934474,0.319407962,0.668216592,0.808498612,2003.241304,0.396839228,0.674230923,1982,0.063459058,16.35647567,0.065930415,15.98647323,0.152100368,0.707388098,0.31696989,0.274726547,1997.598076,1.984051442,0.001417646,23828
55,-1,d8400e39-37dc-e811-a2bd-c4346bcb1555,4.20E+42,1,2002.713996,0.001591106,0.214308035,0.57420204,0.22547832,9.43E-05,1998.339328,1.776799748,0.211885432,0.75,0.210594654,0.95,0.35774672,0.185075342,0.763734354,0.352467741,1.533026632,1.259033271,1.142755926,2.406520364,1.10460986,2.613913424,1.104282946,1.351152237,1.588283709,3,1.712552783,2.950230512,0.221531689,0.773818276,0.250487996,0.172691488,1995.491117,2.303172601,5.80E-05,0.128883606,0.935088979,0.315677831,0.367995787,0.385956784,0.232801276,0.408090609,0.017910214,0.490561734,0.298540121,0.645924957,0.776526868,2003.131561,0.459347661,0.659498908,1982,0.097137919,16.18456155,0.048688268,15.86851337,0.139228979,0.711627858,0.298274866,0.256382173,1997.358496,1.931824901,0.001430315,4979
58,-1,b6f68ba0-36dc-e811-a2bd-c4346bcb1555,4.20E+42,0.999714563,2002.844622,0.001511478,0.220740188,0.579749429,0.238647082,9.13E-05,1999.258441,1.872573437,0.213476246,0.75,0.226362908,0.95,0.346269593,0.160036974,0.770243008,0.342307776,1.764221374,1.330286944,1.23929122,2.502399178,1.095048128,2.713491154,1.182172122,1.367973239,1.629983548,2.995201023,1.70897047,2.994600428,0.205716453,0.803413637,0.26611602,0.180948805,1995.544851,2.293182615,7.07E-05,0.134042426,0.928485146,0.316247977,0.34922923,0.380743829,0.237509643,0.423120128,0.042878195,0.451315641,0.313220087,0.60925086,0.824398386,2003.153898,0.362619649,0.672505656,1982,0.078149147,16.11749842,0.059288246,16.15487938,0.144924407,0.721886913,0.318951271,0.277949032,1997.382826,1.944283449,0.001483428,21062
61,-1,93d475a2-34dc-e811-a2bd-c4346bcb1555,4.19E+42,1,2002.860221,0.001594548,0.22401424,0.614194261,0.228422556,9.13E-05,1998.422984,1.893739491,0.207463101,0.75,0.209611168,0.94968374,0.369613745,0.166522786,0.754697732,0.338278942,1.589135815,1.355312282,1.19881219,2.49785181,1.087372181,2.641644023,1.151009616,1.374644539,1.626407874,3,1.690349479,2.983809424,0.214546402,0.780366032,0.291240468,0.173572576,1996.449913,2.125087906,5.48E-05,0.110101454,0.908056837,0.297341729,0.364408907,0.385446698,0.24717917,0.432724306,0.039408783,0.496816546,0.330145496,0.622921652,0.753594101,2003.581749,0.415029203,0.631725261,1982,0.08704593,16.22135515,0.04,15.85975308,0.134357085,0.709650606,0.304367189,0.279713003,1997.038966,1.787709077,0.001414712,36237
64,-1,bf85b139-f0dc-e811-a2bd-c4346bcb1555,4.19E+42,1,2003.248161,0.001617324,0.247269556,0.586242556,0.229370845,9.72E-05,1998.402493,1.802247838,0.217445948,0.75,0.215169741,0.95,0.331638137,0.180241545,0.776699708,0.367035081,1.510992874,1.097224317,1.301907521,2.477432506,1.106608101,2.887286138,1.090058216,1.307831392,1.658430935,2.908556465,1.72239331,3,0.20541713,0.793547335,0.25286219,0.178438374,1995.725993,2.033790447,5.48E-05,0.092302314,0.927815855,0.283483542,0.346555495,0.393904794,0.244445271,0.43286727,0.03283663,0.455610817,0.299245545,0.646726333,0.72643784,2003.20094,0.399431868,0.66872475,1982,0.087196251,16.00637914,0.043174255,16.01839697,0.125621338,0.728061179,0.340006438,0.272482345,1998.37817,1.824249699,0.00142816,43572
70,-1,db819929-38dc-e811-a2bd-c4346bcb1555,4.18E+42,1,2003.18825,0.001595986,0.214196104,0.584210985,0.21083256,9.13E-05,1999.343773,1.785975141,0.22492479,0.75,0.238454501,0.95,0.367801936,0.186344167,0.755901303,0.323258178,1.674938281,1.209946153,1.241007592,2.394593371,1.056654612,2.596889768,1.15849224,1.34743064,1.586186555,2.993499689,1.687677749,3,0.216121113,0.79786843,0.279853155,0.193394413,1996.47726,2.26947472,5.52E-05,0.108818804,0.922726302,0.292285435,0.363475397,0.386660936,0.252663524,0.410462012,0.031002939,0.443864403,0.328432689,0.655006396,0.752459488,2003.728575,0.4360467,0.681203912,1982,0.093585384,16.12102104,0.04898957,15.99643596,0.157512867,0.71428424,0.291009557,0.266463021,1997.443546,1.930745558,0.001405451,14113
73,-1,98dbd837-f5dc-e811-a2bd-c4346bcb1555,4.18E+42,1,2003.303108,0.001680825,0.233741584,0.567871126,0.21981436,0.000114704,1998.206844,1.768325113,0.235984982,0.75,0.225286905,0.949267105,0.376000326,0.16874701,0.772656941,0.357024146,1.576999795,1.281344892,1.243591796,2.492760423,1.071320312,2.789719629,1.074577535,1.336480964,1.648274716,2.944618315,1.707628898,2.990224449,0.216777901,0.778809685,0.251047056,0.197523603,1995.819974,2.138843571,5.48E-05,0.107364227,0.919354649,0.298302537,0.357357436,0.404160516,0.250965244,0.395982801,0.021368253,0.455972572,0.324560408,0.634822382,0.743759649,2002.586232,0.404571608,0.663041083,1982,0.090356586,15.90277278,0.053508414,16.17416728,0.152127156,0.736382123,0.325417917,0.25570224,1998.309776,1.897508969,0.001269746,13787
79,-1,163f4500-f9dc-e811-a2bd-c4346bcb1555,4.18E+42,1,2002.666804,0.001646688,0.227105848,0.567888473,0.256856303,9.13E-05,1998.421843,1.837999109,0.214580806,0.75,0.227496567,0.95,0.345913113,0.173150885,0.793520283,0.363109101,1.459461227,1.317188656,1.268691166,2.584887496,1.111375646,2.863946388,1.091455191,1.288621376,1.645375183,2.923135722,1.741298868,2.961173574,0.178709533,0.775503696,0.253270415,0.188882241,1995.654097,2.170234129,6.02E-05,0.116356103,0.932416376,0.313612873,0.35567061,0.406474201,0.238772453,0.427161119,0.052692139,0.454193645,0.326690599,0.652301082,0.711130243,2003.131414,0.428990596,0.646754012,1982,0.088372271,15.93281539,0.04,15.94150499,0.128743591,0.734649857,0.324719961,0.277207422,1998.254493,1.911223845,0.001268867,48123
82,-1,713bc4fb-70db-e811-a2bd-c4346bcb1555,4.18E+42,0.994144114,2003.095232,0.001508791,0.212165836,0.602172452,0.221560622,9.13E-05,1998.551574,1.658083368,0.215584577,0.75,0.211625108,0.95,0.337169337,0.160702858,0.762146677,0.34829293,1.834078266,1.270911666,1.204251923,2.573837207,1.198976225,2.706858709,1.098752096,1.318860866,1.588292846,3,1.752003316,3,0.211533144,0.819295949,0.293894688,0.189354486,1996.123001,2.034446125,5.48E-05,0.148223044,0.928119716,0.250029629,0.364553477,0.397255831,0.279286535,0.440488085,0.024296953,0.499365905,0.310954484,0.639575969,0.767871726,2002.611473,0.430850187,0.650856766,1982,0.072032279,16.38257917,0.071939472,16.11712676,0.141064131,0.728840135,0.325612263,0.28247482,1997.751171,1.765770116,0.001418305,39663
